region,type,year,quarter,index_value
Česká republika,Domy,2019,1,139
ČR bez Prahy,Domy,2019,1,140.6
Hlavní město Praha,Domy,2019,1,127.9
Středočeský kraj,Domy,2019,1,143.1
Jihočeský kraj,Domy,2019,1,138.5
Plzeňský kraj,Domy,2019,1,139.9
Karlovarský kraj,Domy,2019,1,120.1
Ústecký kraj,Domy,2019,1,127
Liberecký kraj,Domy,2019,1,144.5
Královéhradecký kraj,Domy,2019,1,141.2
Pardubický kraj,Domy,2019,1,145
Kraj Vysočina,Domy,2019,1,141.9
Jihomoravský kraj,Domy,2019,1,151
Olomoucký kraj,Domy,2019,1,131.7
Zlínský kraj,Domy,2019,1,134
Česká republika,Domy,2019,2,142.7
ČR bez Prahy,Domy,2019,2,144.4
Hlavní město Praha,Domy,2019,2,131.3
Středočeský kraj,Domy,2019,2,151
Jihočeský kraj,Domy,2019,2,139.4
Plzeňský kraj,Domy,2019,2,151.4
Karlovarský kraj,Domy,2019,2,131.3
Ústecký kraj,Domy,2019,2,134.9
Liberecký kraj,Domy,2019,2,139.9
Královéhradecký kraj,Domy,2019,2,140.8
Pardubický kraj,Domy,2019,2,151.1
Kraj Vysočina,Domy,2019,2,136.4
Jihomoravský kraj,Domy,2019,2,152.2
Olomoucký kraj,Domy,2019,2,132.3
Zlínský kraj,Domy,2019,2,134.8
Česká republika,Domy,2019,3,148.2
ČR bez Prahy,Domy,2019,3,149.8
Hlavní město Praha,Domy,2019,3,137.6
Středočeský kraj,Domy,2019,3,153.7
Jihočeský kraj,Domy,2019,3,148.7
Plzeňský kraj,Domy,2019,3,148.7
Karlovarský kraj,Domy,2019,3,142
Ústecký kraj,Domy,2019,3,145.1
Liberecký kraj,Domy,2019,3,139.5
Královéhradecký kraj,Domy,2019,3,154.1
Pardubický kraj,Domy,2019,3,149.9
Kraj Vysočina,Domy,2019,3,148.5
Jihomoravský kraj,Domy,2019,3,161.5
Olomoucký kraj,Domy,2019,3,138.2
Zlínský kraj,Domy,2019,3,136.9
Česká republika,Domy,2019,4,150.8
ČR bez Prahy,Domy,2019,4,152.2
Hlavní město Praha,Domy,2019,4,141.4
Středočeský kraj,Domy,2019,4,157.5
Jihočeský kraj,Domy,2019,4,141.8
Plzeňský kraj,Domy,2019,4,158.4
Karlovarský kraj,Domy,2019,4,144.3
Ústecký kraj,Domy,2019,4,145.8
Liberecký kraj,Domy,2019,4,149.5
Královéhradecký kraj,Domy,2019,4,148.3
Pardubický kraj,Domy,2019,4,146.5
Kraj Vysočina,Domy,2019,4,145.4
Jihomoravský kraj,Domy,2019,4,163.5
Olomoucký kraj,Domy,2019,4,143.8
Zlínský kraj,Domy,2019,4,141.9
Česká republika,Domy,2019,year,145.2
ČR bez Prahy,Domy,2019,year,146.8
Hlavní město Praha,Domy,2019,year,134.6
Středočeský kraj,Domy,2019,year,151.3
Jihočeský kraj,Domy,2019,year,142.1
Plzeňský kraj,Domy,2019,year,149.6
Karlovarský kraj,Domy,2019,year,134.4
Ústecký kraj,Domy,2019,year,138.2
Liberecký kraj,Domy,2019,year,143.4
Královéhradecký kraj,Domy,2019,year,146.1
Pardubický kraj,Domy,2019,year,148.1
Kraj Vysočina,Domy,2019,year,143.1
Jihomoravský kraj,Domy,2019,year,157.1
Olomoucký kraj,Domy,2019,year,136.5
Zlínský kraj,Domy,2019,year,136.9
Česká republika,Byty,2019,1,153.4
ČR bez Prahy,Byty,2019,1,149
Hlavní město Praha,Byty,2019,1,159.2
Středočeský kraj,Byty,2019,1,144.4
Jihočeský kraj,Byty,2019,1,150
Plzeňský kraj,Byty,2019,1,153
Karlovarský kraj,Byty,2019,1,142.7
Ústecký kraj,Byty,2019,1,156
Liberecký kraj,Byty,2019,1,151.6
Královéhradecký kraj,Byty,2019,1,147.6
Pardubický kraj,Byty,2019,1,145.4
Kraj Vysočina,Byty,2019,1,152.5
Jihomoravský kraj,Byty,2019,1,149.4
Olomoucký kraj,Byty,2019,1,153.3
Zlínský kraj,Byty,2019,1,162.6
Česká republika,Byty,2019,2,157.6
ČR bez Prahy,Byty,2019,2,154.1
Hlavní město Praha,Byty,2019,2,162.1
Středočeský kraj,Byty,2019,2,157.2
