time_period,region_name,house_price_avg,house_price_2k,house_price_2k_10k,house_price_10k_50k,house_price_50k_plus,flat_price_avg,flat_price_2k,flat_price_2k_10k,flat_price_10k_50k,flat_price_50k_plus
2019-2021,Hlavní město Praha,79275.0,x,x,x,79275,88629.0,x,x,x,88629
2019-2021,Středočeský kraj,49122.0,45128,56792,45763,47163,38494.0,26771,34573,39227,49272
2019-2021,Benešov,36560.0,35740,37403,39274,x,36467.0,25885,35470,39856,x
2019-2021,Beroun,40166.0,33442,43160,48135,x,38618.0,33052,35833,42153,x
2019-2021,Kladno,40004.0,34931,40389,34674,47163,46388.0,29670,34506,41758,49272
2019-2021,Kolín,34387.0,33797,34338,36259,x,34628.0,25685,32007,39350,x
2019-2021,Kutná Hora,33425.0,29858,30007,41756,x,31793.0,21824,28724,33802,x
2019-2021,Mělník,37712.0,36073,41867,37097,x,37967.0,27129,33712,40055,x
2019-2021,Mladá Boleslav,37245.0,34471,38590,44737,x,37562.0,30472,31334,43654,x
2019-2021,Nymburk,32809.0,30531,34691,38049,x,36783.0,26651,35323,39813,x
2019-2021,Praha-východ,66825.0,65099,69404,66077,x,40851.0,31223,39940,44258,x
2019-2021,Praha-západ,65009.0,64487,65238,x,x,40484.0,33016,41510,x,x
2019-2021,Příbram,34790.0,35069,33929,35311,x,34241.0,22855,31381,36884,x
2019-2021,Rakovník,31580.0,30832,45511,34716,x,32342.0,23463,39848,34878,x
2019-2021,Jihočeský kraj,34286.0,31399,32528,36138,53896,34491.0,22006,27342,33424,45431
2019-2021,České Budějovice,39909.0,34760,36371,x,53896,42683.0,26391,30303,x,45431
2019-2021,Český Krumlov,32964.0,34437,30203,34989,x,28973.0,22846,27549,36327,x
2019-2021,Jindřichův Hradec,30353.0,29409,28278,37326,x,27598.0,19164,26549,31405,x
2019-2021,Písek,28880.0,27225,i.d.,43286,x,29770.0,19698,23384,34318,x
2019-2021,Prachatice,29999.0,30013,27959,36683,x,25790.0,21805,22535,32392,x
2019-2021,Strakonice,31575.0,30110,33239,33597,x,28957.0,20769,27885,32065,x
2019-2021,Tábor,31469.0,27263,31571,35812,x,30509.0,22916,27110,33964,x
2019-2021,Plzeňský kraj,34428.0,29433,33756,36079,53103,36112.0,23006,29306,31227,44865
2019-2021,Domažlice,29233.0,27587,29867,36477,x,27552.0,21851,26174,33141,x
2019-2021,Klatovy,30542.0,29530,26243,38795,x,27633.0,23277,22431,30904,x
2019-2021,Plzeň-jih,29135.0,26753,32286,x,x,28162.0,23712,28486,x,x
2019-2021,Plzeň-město,48805.0,39860,40286,x,53103,44638.0,30968,32384,x,44865
2019-2021,Plzeň-sever,33541.0,30336,36893,x,x,31608.0,23070,33361,x,x
2019-2021,Rokycany,30103.0,28978,30473,35352,x,32534.0,28867,27759,36797,x
2019-2021,Tachov,30403.0,28683,30160,35294,x,26122.0,21042,26622,28747,x
2019-2021,Karlovarský kraj,29064.0,28434,28253,30746,x,25478.0,19543,19799,26836,x
2019-2021,Cheb,27810.0,27370,27130,28847,x,25597.0,16549,26716,26121,x
2019-2021,Karlovy Vary,32440.0,31730,31996,33714,x,27662.0,22425,18209,29416,x
2019-2021,Sokolov,26929.0,26004,26996,29008,x,19101.0,18656,17843,19619,x
2019-2021,Ústecký kraj,28891.0,26520,29163,30408,42680,25469.0,20512,22449,24556,30879
2019-2021,Děčín,27202.0,28627,24186,27614,x,22828.0,21763,18349,23553,x
2019-2021,Chomutov,29526.0,28261,28314,30818,x,21380.0,22530,16076,21381,x
2019-2021,Litoměřice,27472.0,26434,28411,37125,x,30688.0,22160,27416,34751,x
2019-2021,Louny,26071.0,24328,27850,31399,x,24732.0,18415,20056,26167,x
2019-2021,Most,33113.0,23718,33744,26771,42142,23224.0,21939,18341,23046,27815
2019-2021,Teplice,31207.0,27347,34450,32329,x,23242.0,15362,19885,24630,x
2019-2021,Ústí nad Labem,36293.0,30060,31390,x,43218,30152.0,18551,23592,x,31123
2019-2021,Liberecký kraj,34746.0,28515,31363,33517,51542,33253.0,23063,25096,30976,43007
2019-2021,Česká Lípa,30188.0,28521,31396,32285,x,25172.0,17697,22633,26625,x
2019-2021,Jablonec nad Nisou,31778.0,30571,30604,34452,x,31176.0,24511,23336,33732,x
2019-2021,Liberec,39595.0,26721,32329,x,51542,39089.0,25425,26420,x,43007
2019-2021,Semily,30091.0,29147,30574,32861,x,29128.0,21997,27365,38587,x
2019-2021,Královéhradecký kraj,33636.0,29732,30050,31942,52587,33969.0,23796,28022,31603,48853
2019-2021,Hradec Králové,41678.0,29870,36388,x,52587,46301.0,28308,32664,x,48853
2019-2021,Jičín,28592.0,27781,28778,39712,x,31929.0,25328,31379,35163,x
2019-2021,Náchod,28095.0,29124,26615,29133,x,24716.0,21877,23295,26129,x
2019-2021,Rychnov nad Kněžnou,30599.0,31539,28015,35147,x,30670.0,22672,31279,36722,x
2019-2021,Trutnov,31565.0,30023,32830,32301,x,29143.0,23339,22822,32727,x
2019-2021,Pardubický kraj,32015.0,30329,30972,33574,48431,35831.0,23326,29497,33334,46092
2019-2021,Chrudim,29526.0,27974,27409,37002,x,29999.0,20076,25646,35849,x
2019-2021,Pardubice,40097.0,37652,37432,x,48431,42408.0,27746,31671,x,46092
2019-2021,Svitavy,29424.0,27895,31632,30843,x,29485.0,20701,30520,31627,x
2019-2021,Ústí nad Orlicí,29522.0,27481,30270,32148,x,29704.0,23539,29044,32001,x
2019-2021,Kraj Vysočina,31856.0,28668,29942,34864,49212,33910.0,21816,27303,35326,40444
2019-2021,Havlíčkův Brod,30841.0,29829,30551,32508,x,28086.0,17504,26488,32266,x
2019-2021,Jihlava,36151.0,26304,31072,x,49212,38417.0,24395,28063,x,40444
2019-2021,Pelhřimov,30999.0,29513,30019,33943,x,29179.0,20324,22635,33004,x
2019-2021,Třebíč,28918.0,27904,26421,40009,x,32638.0,22605,28365,36319,x
2019-2021,Žďár nad Sázavou,31381.0,29488,32730,36530,x,34996.0,25513,30200,38821,x
2019-2021,Jihomoravský kraj,37365.0,31190,34830,34070,57975,48273.0,27147,34426,35379,59583
2019-2021,Blansko,32507.0,30033,34255,39229,x,33414.0,23337,30992,39913,x
2019-2021,Brno-město,57975.0,x,x,x,57975,59583.0,x,x,x,59583
2019-2021,Brno-venkov,36267.0,34127,39193,38603,x,37705.0,32946,37306,44603,x
2019-2021,Břeclav,32927.0,30717,35693,34044,x,35064.0,28638,37158,34957,x
2019-2021,Hodonín,28627.0,26784,28803,31383,x,31157.0,24732,27472,32206,x
2019-2021,Vyškov,32721.0,31722,35604,32574,x,36820.0,32762,34982,40659,x
2019-2021,Znojmo,30645.0,29478,31383,34392,x,33233.0,23475,31642,35712,x
2019-2021,Olomoucký kraj,28777.0,26328,29259,30985,53738,33677.0,20390,26443,29995,46138
2019-2021,Jeseník,25229.0,25120,24566,26837,x,23784.0,17438,19070,26336,x
2019-2021,Olomouc,33166.0,29259,33804,30450,53738,41301.0,22295,29928,28998,46138
2019-2021,Prostějov,28319.0,25960,27177,35845,x,30894.0,20902,25154,33115,x
2019-2021,Přerov,25312.0,24514,24137,27395,x,27782.0,19189,24042,29032,x
2019-2021,Šumperk,27063.0,24540,28905,30412,x,28544.0,19712,26816,30443,x
2019-2021,Zlínský kraj,28428.0,24916,26917,31105,43078,33185.0,22979,28839,33747,43681
2019-2021,Kroměříž,24607.0,23596,23679,28150,x,29944.0,21198,27089,32759,x
2019-2021,Uherské Hradiště,26940.0,24822,26727,32304,x,33904.0,25340,30686,36160,x
2019-2021,Vsetín,28449.0,26354,28034,31200,x,31449.0,20403,27251,32348,x
2019-2021,Zlín,32026.0,25357,27658,32727,43078,38596.0,23322,31334,38741,43681
2019-2021,Moravskoslezský kraj,31296.0,27713,30187,30452,41490,29224.0,20343,25804,24094,32742
2019-2021,Bruntál,25213.0,25284,23190,26704,x,21040.0,16051,18591,21657,x
2019-2021,Frýdek-Místek,32366.0,28582,32214,33376,44098,30711.0,22197,29039,25926,32328
2019-2021,Karviná,30680.0,27564,30471,28820,38569,23351.0,-,28049,20936,30434
2019-2021,Nový Jičín,28797.0,27767,27486,32877,x,26519.0,18199,23227,28350,x
2019-2021,Opava,30683.0,27925,28637,32645,42950,32209.0,23098,26775,30116,34449
2019-2021,Ostrava-město,37854.0,33397,32240,x,41113,32700.0,-,31002,x,32751
2020-2022,Hlavní město Praha,91986.0,x,x,x,91986,99503.0,x,x,x,99503
2020-2022,Středočeský kraj,55868.0,50940,65395,51985,55632,45938.0,32733,41747,46709,58122
2020-2022,Benešov,40685.0,39242,42446,43909,x,43011.0,33397,43517,45495,x
2020-2022,Beroun,43143.0,36337,47127,50206,x,44371.0,36891,42580,47787,x
2020-2022,Kladno,45687.0,37746,47195,39683,55632,54817.0,37364,41343,47766,58122
2020-2022,Kolín,39273.0,38684,40199,40086,x,42902.0,32317,41737,48740,x
2020-2022,Kutná Hora,36384.0,33235,27497,43875,x,38861.0,25414,35755,40866,x
2020-2022,Mělník,41318.0,40057,45331,40638,x,46384.0,31915,44977,49595,x
2020-2022,Mladá Boleslav,40794.0,38382,43504,43765,x,45614.0,37094,39064,51205,x
2020-2022,Nymburk,37713.0,35565,40498,42314,x,43106.0,32194,41531,46201,x
2020-2022,Praha-východ,78744.0,77882,80837,76150,x,48614.0,42218,46285,53011,x
2020-2022,Praha-západ,75499.0,73954,76355,x,x,46503.0,35046,47871,x,x
2020-2022,Příbram,38983.0,39197,36229,43800,x,41085.0,29044,37709,44355,x
2020-2022,Rakovník,35839.0,34893,60091,38053,x,36347.0,26501,44151,40115,x
2020-2022,Jihočeský kraj,38734.0,35619,36248,41163,65262,41082.0,26626,34211,40523,52730
2020-2022,České Budějovice,45061.0,39637,38769,x,65262,49473.0,29062,37835,x,52730
2020-2022,Český Krumlov,36262.0,36922,34090,44574,x,34586.0,27235,33577,42502,x
2020-2022,Jindřichův Hradec,36067.0,34462,34995,43387,x,34825.0,23123,33558,39345,x
2020-2022,Písek,32153.0,32088,i.d.,32999,x,37693.0,25363,33089,42056,x
2020-2022,Prachatice,34448.0,35392,31217,35479,x,29742.0,25855,27530,35624,x
2020-2022,Strakonice,34169.0,33360,33587,37001,x,35258.0,26220,36726,38448,x
2020-2022,Tábor,36431.0,31625,35674,41395,x,36988.0,28154,33307,41582,x
2020-2022,Plzeňský kraj,38120.0,32968,37317,40492,62061,42675.0,28463,34839,37404,52989
2020-2022,Domažlice,32080.0,30385,31908,43219,x,32726.0,25630,32831,38639,x
2020-2022,Klatovy,34206.0,33920,27494,39828,x,34897.0,29539,28960,38386,x
2020-2022,Plzeň-jih,33518.0,30992,36695,x,x,33184.0,28697,33542,x,x
2020-2022,Plzeň-město,55657.0,42570,45484,x,62061,52727.0,36664,41008,x,52989
2020-2022,Plzeň-sever,37501.0,34423,40702,x,x,37545.0,30809,39507,x,x
2020-2022,Rokycany,33478.0,32179,31727,43121,x,37755.0,34399,33688,41977,x
2020-2022,Tachov,33814.0,32330,34461,37440,x,30548.0,24821,31500,33740,x
2020-2022,Karlovarský kraj,33052.0,32832,31689,34704,x,30222.0,22620,24144,31770,x
2020-2022,Cheb,30952.0,30037,29928,32924,x,29606.0,19762,29368,30329,x
2020-2022,Karlovy Vary,37486.0,36970,36001,39211,x,33272.0,26450,23655,34908,x
2020-2022,Sokolov,30796.0,30816,30823,30696,x,23509.0,19474,21940,24541,x
2020-2022,Ústecký kraj,32690.0,30794,32538,33878,47265,30299.0,25710,27695,29013,35837
2020-2022,Děčín,30663.0,33071,27431,30724,x,27885.0,24095,23505,28676,x
2020-2022,Chomutov,33306.0,31568,41374,34643,x,25022.0,30213,18715,24965,x
2020-2022,Litoměřice,32097.0,31579,31495,39240,x,37181.0,27448,34290,41579,x
2020-2022,Louny,29597.0,27905,32004,34775,x,30830.0,24291,24534,32736,x
2020-2022,Most,36208.0,30037,35767,31708,45220,28254.0,.,22335,26938,32256
2020-2022,Teplice,34177.0,30293,36196,36155,x,27102.0,18391,24305,28634,x
2020-2022,Ústí nad Labem,41501.0,34510,38072,x,49171,35477.0,26000,28887,x,36365
2020-2022,Liberecký kraj,39801.0,33296,35850,39427,58616,39505.0,26869,31130,36950,50824
2020-2022,Česká Lípa,35471.0,31805,41275,38625,x,31493.0,20792,28485,33417,x
2020-2022,Jablonec nad Nisou,37229.0,36768,34824,40294,x,36880.0,30183,30465,39163,x
2020-2022,Liberec,44567.0,32087,36190,x,58616,45995.0,27272,32758,x,50824
2020-2022,Semily,34352.0,33186,35031,38146,x,34478.0,25873,32503,44850,x
